Predicted AoA (norm),Word
0.05826494097709656,---si
0.05826494097709656,---un
0.12177194654941559,--administration
0.05826494097709656,--au
0.3560296297073364,--bien
-0.2813750207424164,--ce
-0.14463326334953308,--commission
0.26061439514160156,--division
0.05826494097709656,--déclaration
0.36894357204437256,--dépense
0.05826494097709656,--en
0.08970906585454941,--est
0.7095792293548584,--estimation
0.1612401157617569,--et
0.877027153968811,--fil
1.3913626670837402,--force
0.05826494097709656,--il
-0.7659884691238403,--je
-0.8925637006759644,--la
0.05826494097709656,--le
0.43956854939460754,--mer
0.4085979461669922,--non
-1.5406043529510498,--on
0.05826494097709656,--par
-0.35465553402900696,--parce
0.05826494097709656,--pour
-0.9510972499847412,--pourquoi
-0.15357549488544464,--profil
-0.2922869324684143,--quelle
0.3565441071987152,--rapport
1.7953413724899292,--set
0.3585534989833832,--si
0.9310781955718994,--source
0.3974669277667999,--squash
0.05578119680285454,--superficie
0.4331224858760834,--syndicat
0.05826494097709656,--tout
-0.3837607204914093,--tu
0.05826494097709656,--tunnel
0.13220950961112976,--une
1.3967320919036865,--use
0.3622475266456604,-0
0.04360179603099823,"-0,01"
-0.7497882843017578,"-0,05"
0.29584449529647827,"-0,1"
0.07525548338890076,"-0,10"
-0.434404194355011,"-0,25"
-0.7545377016067505,"-0,35"
-0.2802309989929199,"-0,4"
0.10107538104057312,"-0,6"
0.05826494097709656,"-0,9"
0.7227609157562256,-0.2
0.7744686603546143,-0.3
0.04375612735748291,-0.7
0.8697140216827393,-0.9
0.6444995403289795,-05.1994
1.5416285991668701,-06.1994
1.3359376192092896,-07.1994
0.5754324197769165,-08.1993
-0.9062970876693726,-1
-0.05936511605978012,"-1,8"
0.2806132435798645,-1-
1.5717275142669678,-1-computer
0.998501181602478,-1.2
0.05826494097709656,-1.6
0.9831454753875732,-1.7
0.6606457233428955,-1.7816
0.05826494097709656,-1.8
0.05826494097709656,-10
-0.9664947986602783,-10-
0.47209152579307556,-10.0
0.5346307754516602,-1000
0.17231523990631104,-11
1.0102249383926392,-11.7
0.05826494097709656,-11.8
0.0570954829454422,-12
0.5378758907318115,-12.9
0.6208009719848633,-120
0.6814283132553101,-13
0.5142951011657715,"-13,5"
1.0266975164413452,-13.5
1.1271079778671265,-13.8
0.11311173439025879,-14
0.2780684530735016,-14.7
-0.11797919869422913,-15
0.7304413318634033,-15.1
-0.39686450362205505,-16
0.19929403066635132,"-16,2"
0.09714365005493164,-16.6
0.40946653485298157,-160
0.23502998054027557,-17.1
0.05826494097709656,-18
1.232168436050415,-18.5
-0.35482659935951233,-180
-0.28133782744407654,-183
0.21653902530670166,-19
0.07514259219169617,-19.3
-0.6031991243362427,-190
0.8468986749649048,-1971
0.05826494097709656,-1976
0.12873783707618713,-1979
-0.0028879940509796143,-198
0.05826494097709656,-1990
0.8572336435317993,-1992
0.05826494097709656,-1993
-0.12498125433921814,-1994
0.0769244134426117,-1995
0.6781460046768188,-1998
-0.0005067065358161926,-2
0.3048175871372223,"-2,2"
0.26117610931396484,"-2,6"
-0.2996155321598053,-2-
1.034889578819275,-2.1
0.2708602547645569,-2.4
0.5292730331420898,-2.6
1.4305298328399658,-2.8
0.05826494097709656,-20
-0.31828221678733826,-20.0
0.7986627817153931,-200
0.05826494097709656,-2001
0.8319185972213745,-2003
0.24871826171875,-2004
0.9107325077056885,-2007
0.2851830720901489,-2009
0.33539000153541565,-2010
0.05132770538330078,-2011
0.05826494097709656,-2012
0.4416714906692505,-2013
0.05826494097709656,-2015
0.6170856952667236,-2016
0.7979353666305542,-2017
0.10835923254489899,"-21,6"
0.3045462369918823,-21.1
0.5046793222427368,-23
0.47706863284111023,-24
0.4045186936855316,-25
0.7566745281219482,-26
1.0552242994308472,-26.9
-0.07732123136520386,-28
-0.5366560220718384,-3
0.05826494097709656,"-3,0"
-0.4073690176010132,"-3,4"
0.253633052110672,"-3,5"
0.8740540742874146,-3.0
-0.5302823781967163,-30
1.2474541664123535,-30.06.1994
1.180586338043213,-31.04.1994
0.05826494097709656,-32.7
0.5587239265441895,-33
0.041850797832012177,-35
0.6201903820037842,-36
0.863674521446228,-37
0.3916972875595093,-38
0.3184444010257721,-39.3
-0.13772079348564148,-4
0.31347358226776123,"-4,2"
0.6534571647644043,"-4,6"
0.05826494097709656,"-4,7"
0.05826494097709656,-40
0.2523178458213806,-400
0.05826494097709656,-42
-0.20614656805992126,-44
0.05826494097709656,-47
-0.18032577633857727,-48
0.06991475820541382,-49
-0.7772203683853149,-5
-0.5096642971038818,"-5,2"
0.05826494097709656,"-5,6"
0.7764873504638672,-5.0
0.3390780985355377,-5.2
0.2954785227775574,-5.3
0.05826494097709656,-5.9
-0.4184144139289856,-50
-0.37643998861312866,-51
-0.44186869263648987,-55
-0.6660254001617432,-6
0.2894452214241028,"-6,2"
1.0052533149719238,"-6,6"
-0.5880916118621826,-6-
0.05826494097709656,-6.2
0.8232872486114502,-6.6
1.4438955783843994,-6.8
