Predicted AoA (norm),Word
-2.3349809646606445,a
0.6318318247795105,aah
-0.9141682386398315,aardvark
-0.23789294064044952,ab
-0.35295552015304565,aback
-0.272955060005188,abacus
0.787061870098114,abaft
-0.12535397708415985,abalone
-1.2336807250976562,abandon
-0.6079262495040894,abandoned
0.4249681234359741,abandoning
0.11682780086994171,abandonment
-0.06290845572948456,abase
0.5971782803535461,abased
-0.06290845572948456,abasement
0.5514068603515625,abash
-0.06290845572948456,abashed
0.4480060338973999,abashment
0.7403922080993652,abasing
0.1781800240278244,abate
-0.06290845572948456,abatement
0.51065993309021,abattoir
0.1610509157180786,abbe
0.5230146050453186,abbess
0.28559839725494385,abbey
0.3339917063713074,abbot
-0.06290845572948456,abbr
0.7549542784690857,abbrev
-0.06290845572948456,abbreviate
-0.5105973482131958,abbreviated
-0.48942458629608154,abbreviation
0.7360287308692932,abdicate
-0.06290845572948456,abdication
-0.608435332775116,abdomen
0.09441991150379181,abdominal
-0.6720252633094788,abduct
-0.425213098526001,abducted
-0.06290845572948456,abductee
0.02505183219909668,abduction
-0.3496142625808716,abductor
0.4019463062286377,abeam
1.2427479028701782,aberrant
-0.06290845572948456,aberration
0.7798387408256531,abet
0.4412786364555359,abetter
0.5079912543296814,abetting
-0.06290845572948456,abettor
0.4045041799545288,abeyance
0.6268157958984375,abhor
0.9452224373817444,abhorrence
0.29490453004837036,abhorrent
0.547127902507782,abhorring
0.4762897491455078,abidance
-0.39096707105636597,abide
0.013800069689750671,abiding
0.5881389379501343,abidingly
-0.6813744902610779,ability
0.5865354537963867,abject
0.6412308216094971,abjection
0.4113972783088684,abjectly
0.6210391521453857,abjectness
1.1831612586975098,abjuration
0.9554728865623474,abjure
1.120108723640442,ablate
-0.06290845572948456,ablation
-0.06290845572948456,ablative
-0.06290845572948456,ablaze
-1.1525731086730957,able
0.6418195366859436,ablest
-0.06290845572948456,abloom
0.7735211253166199,ablution
0.5133834481239319,ably
-0.06290845572948456,abnegate
0.5900797843933105,abnegating
-0.06290845572948456,abnegation
0.20966248214244843,abnormal
0.26532959938049316,abnormality
0.493366539478302,abnormally
-1.157161831855774,aboard
0.23285917937755585,abode
-0.06290845572948456,abolish
0.14781159162521362,abolishing
0.5393679738044739,abolition
0.9244118332862854,abolitionism
0.8968674540519714,abolitionist
0.1832231879234314,abominable
-0.06728421896696091,abominably
-0.06290845572948456,abominate
0.6959545612335205,abomination
-0.06290845572948456,aboriginal
0.2230677753686905,aboriginals
0.7610718011856079,aborigine
-0.5977630615234375,abort
-0.30460673570632935,aborted
0.19641681015491486,abortion
0.7910749316215515,abortionist
0.6302428245544434,abortive
-0.24084848165512085,abound
0.17167632281780243,abounded
-2.3492496013641357,about
-1.5020207166671753,above
0.5482608079910278,abracadabra
0.3366971015930176,abrade
0.12713541090488434,abrasion
0.0886489599943161,abrasive
0.4817250370979309,abrasiveness
-0.21806871891021729,abreast
-0.06290845572948456,abridge
0.640576183795929,abridged
1.0503029823303223,abridgement
1.0611225366592407,abridgment
-0.9784465432167053,abroad
1.0951595306396484,abrogate
0.8652039170265198,abrogation
-0.3790922164916992,abrupt
-0.06290845572948456,abruptly
-0.022288508713245392,abruptness
-0.3402029275894165,abs
0.12590233981609344,abscess
0.24274428188800812,abscessed
-0.24346353113651276,abscissa
0.7063165903091431,abscission
0.12164340913295746,abscond
0.7773876786231995,absconder
-0.04468758404254913,absconding
-0.06290845572948456,abseil
0.3526144027709961,abseiling
-0.616351306438446,absence
-0.43287020921707153,absent
-0.06290845572948456,absentee
0.3269003629684448,absenteeism
-0.06290845572948456,absently
0.06201647222042084,absentminded
-0.2981794476509094,absentmindedly
0.3244672417640686,absentmindedness
-0.06290845572948456,absinth
1.6415715217590332,absinthe
-0.9207783937454224,absolute
-1.3628008365631104,absolutely
-0.019970938563346863,absoluteness
0.11060844361782074,absolution
0.9008879065513611,absolutism
-0.06290845572948456,absolutist
0.1606399267911911,absolve
-0.6100427508354187,absorb
1.0452814102172852,absorbance
0.15251806378364563,absorbed
-0.06290845572948456,absorbency
-0.5063355565071106,absorbent
-0.41187238693237305,absorbing
-0.06290845572948456,absorption
0.9586412310600281,absorptive
0.10965444147586823,abstain
0.7936514019966125,abstainer
0.4944947361946106,abstaining
0.8678985834121704,abstemious
0.9233756065368652,abstemiousness
0.9169163107872009,abstention
0.5612754225730896,abstinence
0.536071240901947,abstinent
-0.1390315741300583,abstract
0.2655394673347473,abstracted
-0.06290845572948456,abstraction
-0.06290845572948456,abstractly
0.6302180886268616,abstractness
0.9939499497413635,abstruse
-0.29324835538864136,absurd
0.6240383386611938,absurdist
0.555555522441864,absurdity
-0.20483829081058502,absurdly
-0.13545328378677368,absurdness
-0.3418816328048706,abundance
-0.5440632104873657,abundant
0.1608954519033432,abundantly
-0.7519636750221252,abuse
-0.06290845572948456,abused
-0.06290845572948456,abuser
-0.7273555397987366,abusing
-0.03026890754699707,abusive
0.3152107000350952,abusively
-0.06290845572948456,abusiveness
-0.06290845572948456,abut
0.8064792156219482,abutment
-0.06290845572948456,abuzz
0.14410336315631866,abysmal
0.5901545286178589,abysmally
-0.45492273569107056,abyss
0.55569988489151,abyssal
0.29223954677581787,ac
1.1090099811553955,acacia
0.4739195704460144,academe
0.8313060402870178,academia
-0.3978976607322693,academic
0.1418352872133255,academical
-0.10640273243188858,academically
-0.06290845572948456,academician
-0.06290845572948456,academy
1.3449883460998535,acanthus
0.7998740077018738,accede
0.8047203421592712,acceding
-0.12851518392562866,accelerate
0.41853421926498413,accelerated
